1,2,10,2,3,
1,8,61,2,3,
1,5,11,2,3,
1,3,10,2,3,
1,9,61,2,4,
1,2,61,2,5,
1,1,61,2,7,
2,3,11,2,3,
2,1,10,2,3,
2,1,61,2,3,
2,5,61,2,4,
2,7,61,2,5,
2,3,61,2,7,
3,3,61,2,3,
3,3,10,2,3,
3,3,11,2,3,
3,1,61,2,4,
3,2,61,2,5,
3,8,61,2,7,
4,4,61,2,3,
4,1,10,2,4,
4,1,61,2,4,
4,7,61,2,5,
4,7,61,2,7,
5,7,61,2,3,
5,8,61,2,4,
5,2,61,2,5,
5,8,61,2,7,
5,8,10,2,7,
6,6,11,2,3,
6,6,10,2,3,
6,6,61,2,3,
6,2,61,2,4,
6,2,61,2,5,
6,7,61,2,6,
6,1,61,2,7,
7,2,10,2,4,
7,2,61,2,4,
7,6,61,2,5,
7,2,61,2,7,
8,5,61,2,3,
8,5,10,2,3,
8,5,61,2,4,
8,1,61,2,5,
8,9,61,2,7,
9,8,10,2,3,
9,6,61,2,3,
9,5,61,2,4,
9,4,10,2,5,
9,2,61,2,5,
9,2,61,2,6,
9,2,61,2,7,
10,2,10,2,4,
